ID_2	Xt	Yt	MOS	pH	ARC	Altura	Zones(4)	TvsPP
283	358491.87	6479634.73	3.74	7.4	26.4	864	II	0.237082066869301
108	481351.78	6454470.98	3.78	6.6	29.1	198	III	0.215462610899873
28	562506.2	6396998.1	3.81	6.7	24.3	117	III	0.198135198135198
151	429559.32	6713097.28	3.81	7.6	19.1	626	II	0.223514211886305
41	537104.55	6461968.08	3.86	6.6	25.6	126	III	0.205495818399044
27	562125.92	6417161.8	3.98	6.1	23.9	113	III	0.198598130841121
318	338135.22	6376680.99	4.06	6.7	18.1	863	II	0.214689265536723
19	562987.43	6573479.28	4.1	6.8	31.2	106	III	0.206385404789054
215	397694.75	6636408.88	4.1	6.8	28.6	632	II	0.234708392603129
211	393546.63	6719911.08	4.17	7.7	34.6	452	II	0.280359820089955
184	414909.64	6656060.91	4.18	6.9	26.9	447	III	0.234042553191489
189	408415.59	6559530.63	4.23	6.9	31.3	397	III	0.212005108556833
182	414484.44	6691598.27	4.26	7.7	18.4	637	II	0.229946524064171
260	383588.56	6341232.69	4.31	6.5	27.5	419	III	0.20609756097561
276	357028.12	6627659.12	4.32	7.7	18.7	691	II	0.281407035175879
248	379647.2	6574478.26	4.33	6.7	19.5	701	II	0.199158485273492
230	406179.76	6343826.65	4.37	5.75	11	319	IV	0.207823960880196
17	584591.65	6335073.9	4.44	6	27.5	111	III	0.197647058823529
2	603163.55	6576899.24	4.48	6.6	30.8	103	III	0.200440528634361
213	400509.73	6673860.22	4.58	7.3	24.3	698	II	0.23728813559322
11	582795.8	6536823.17	4.66	6	33.2	114	III	0.200676437429538
342	316152.47	6474608.25	4.67	7.4	24.3	1066	II	0.241545893719807
241	375837.03	6714323.16	4.68	6.5	22.4	261	III	0.330016583747927
249	377951.96	6556394.26	4.76	6.9	16.1	707	II	0.206415620641562
343	304247.81	6459884.72	4.82	7.3	18.5	671	II	0.287603305785124
390	356043.7	6636299.33	4.89	7.8	17.2	576	II	0.307291666666667
217	398072.08	6596511.07	5.03	6.1	26.9	560	II	0.214965986394558
346	326290.24	6358536.99	5.25	6.7	1.1	793	II	0.221276595744681
319	335929.72	6354151.04	5.27	6.6	27.5	686	II	0.220994475138122
280	357799.36	6535105.05	5.48	7	11.8	738	II	0.246246246246246
278	357181.26	6576089.43	5.5	7.5	10.5	1207	II	0.207207207207207
313	351274.03	6477362.73	6.22	6.4	33.2	782	II	0.248840803709428
340	310568.45	6517138.98	6.23	7.9	17.6	1421	II	0.224755700325733
1241	381213.78	6709303.8	6.59	7.2	5.3	376	I	0.305732484076433
